station,district,route,direction,type,latitude,longitude,distlink,pemsonlink,shstReferenceId,A,B,model_link_id,A_B
407259,4,80,E,OR,37.838814,-122.296557,0.0004325680119946,1,a22de57f56330cdf97aaad9a36328630,2583784,2604695,3107675,2583784_2604695
407260,4,80,E,OR,37.903574,-122.31244,0.0001586431394671,1,0a156241983e4c8b817b1d773b8f6c1e,3005092,3043503,4005024,3005092_3043503
407261,4,80,E,FR,37.996735,-122.286591,0.000755402550827,1,beb13e6c284df8dd4e5d93d3b5af058e,3069500,3052787,4094659,3069500_3052787
407262,4,80,E,OR,37.99336,-122.301718,0.0003677661383013,1,d0432a883b86f951be2772e14ab4963d,3040064,3030446,4103339,3040064_3030446
407265,4,80,E,OR,37.866986,-122.303717,0.000516755734678,1,d11ea9e4b5c108bbe96ff03ce08d24f1,2598454,2580570,3138965,2598454_2580570
407268,4,80,E,OR,37.99801,-122.285108,0.0008710075189095,1,beb13e6c284df8dd4e5d93d3b5af058e,3069500,3052787,4094659,3069500_3052787
407270,4,80,E,FR,37.932712,-122.325878,7.23202281535057e-05,1,f5c21773a5a10508d2488d55c85cf163,3008416,3021221,4122022,3008416_3021221
407271,4,80,E,FR,37.91859,-122.317348,0.0001596866658638,1,7fd7f8e275dbfef0fcebf3a3fb0df2ca,3052726,3059602,4063603,3052726_3059602
407274,4,80,E,OR,37.969552,-122.320607,6.2250634493024e-05,1,1e6813c0643f0aadaeefcc6691b520cb,3002294,3066164,4014954,3002294_3066164
407275,4,80,E,FR,37.975313,-122.318663,0.0015172660110206,1,e965911d27cbb2b9c1367f9de837fe68,3019919,3027234,4115784,3019919_3027234
407278,4,80,W,FR,37.89438,-122.307952,0.0002805996142649,1,cd32266b39516dd9ce41bb6e0d70a282,2511680,2534865,3136447,2511680_2534865
407279,4,80,W,OR,37.943406,-122.323941,0.0003950923705889,1,0b1d05865a11f3fede12a617103ac595,3005596,3038249,4005532,3005596_3038249
