line_name,description,total_boarding,total_hour_cap,tm2_mode,line_mode,headway,fare_system
30_AC Transit_7_AM_d1_s16,Univ/Calif - BYBA,0,290.7692307692308,30,s,13.0,9
30_AC Transit_80_AM_d0_s223,CCC - DeAnza HS/Crespi MS,0,15.75,30,s,240.0,9
30_AC Transit_81_AM_d0_s226,Berkeley Bart - Grizzly Peak Blvd.,0,111.17647058823529,30,s,34.0,9
30_AC Transit_81_AM_d1_s227,Berkeley Bart - Grizzly Peak Blvd.,0,94.5,30,s,40.0,9
30_AC Transit_82_AM_d0_s228,CCC - De Anza HS/Crespi MS,0,15.75,30,s,240.0,9
30_AC Transit_83_AM_d0_s231,N.Richmond - San Pablo - El Sobrante,0,15.75,30,s,240.0,9
30_AC Transit_84_AM_d0_s234,21st & Macdonald Ave. - El Cerrito,0,31.5,30,s,120.0,9
30_AC Transit_85_AM_d0_s236,N.Richmond - San Pablo - El Sobrante,0,31.5,30,s,120.0,9
30_AC Transit_86_AM_d0_s239,Crespi MS & DeAnza High Schools,0,15.75,30,s,240.0,9
30_AC Transit_87_AM_d0_s242,E. Oakland - Bishop O'Dowd H.S.,0,15.75,30,s,240.0,9
30_AC Transit_88_AM_d0_s243,Rich Pkwy & W.Macd - DeJean M.S.,0,15.75,30,s,240.0,9
30_AC Transit_89_AM_d0_s246,E. Oakland - Bishop O'Dowd H.S.,0,31.5,30,s,120.0,9
30_AC Transit_8_AM_d0_s20,Fruitvale ave - Alameda - 11th Jefferson,0,126.0,30,s,30.0,9
30_AC Transit_8_AM_d1_s22,Fruitvale ave - Alameda - 11th Jefferson,0,126.0,30,s,30.0,9
30_AC Transit_90_AM_d0_s247,Rich. BART /El Cerrito HS,0,15.75,30,s,240.0,9
30_AC Transit_91_AM_d1_s250,Bay Farm Is. / Lincoln Middle Sch.,0,15.75,30,s,240.0,9
30_AC Transit_92_AM_d0_s252,ST. MARYS HIGH SCHOOL,0,15.75,30,s,240.0,9
30_AC Transit_93_AM_d1_s253,Oakland Tech H.S./Skyline/Redwood,0,15.75,30,s,240.0,9
30_AC Transit_94_AM_d0_s257,D.NORTE BART/BERKELEY BART,0,94.5,30,s,40.0,9
30_AC Transit_94_AM_d1_s258,D.NORTE BART/BERKELEY BART,0,111.17647058823529,30,s,34.0,9
30_AC Transit_95_AM_d0_s255,Richmond Pkwy. TC. - Richmond BART,0,126.0,30,s,30.0,9
30_AC Transit_95_AM_d1_s256,Richmond Pkwy. TC. - Richmond BART,0,126.0,30,s,30.0,9
30_AC Transit_96_AM_d0_s259,Richmond Pkwy TC - El Cerrito Plaza BART,0,126.0,30,s,30.0,9
30_AC Transit_96_AM_d1_s261,Richmond Pkwy TC - El Cerrito Plaza BART,0,126.0,30,s,30.0,9
30_AC Transit_97_AM_d0_s265,Richmond - Downtown Oakland,0,111.17647058823529,30,s,34.0,9
30_AC Transit_97_AM_d1_s266,Richmond - Downtown Oakland,0,126.0,30,s,30.0,9
